the_geom,ObjectID,Name,Address
POINT (-90.123317374809 29.953647013407),51,Carrollton Presbyterian Church,2032 S CARROLLTON AVE
POINT (-90.005757037982 29.962600457558),83,Evening Star Spiritual Church,6419 N ROBERTSON ST
POINT (-90.08421460528 29.935631145927),111,First Street United Methodist Church,2309  DRYADES ST
POINT (-90.108413396248 29.996951302212),294,Saint Lukes United Methodist Church,5875  CANAL BLVD
POINT (-90.132588924762 29.950797499256),156,Haven Methodist Church,1238  JOLIET ST
POINT (-90.079020234001 29.939969054135),42,Castle Rock Community Church,1820  TERPSICHORE ST
POINT (-90.087251231324 29.93750546089),325,St Francis De Sales Church,2203  SECOND ST
POINT (-90.021476346799 29.93914069465),162,Greater St. Mary Baptist Church,1533  HORACE ST
POINT (-90.096757439484 29.93480335886),119,First African Baptist Church Sixth District,3524  LASALLE ST
POINT (-90.078348206272 29.951267906104),20,Baptist Community Ministries,1450  POYDRAS ST
POINT (-90.052795900654 29.948346505178),249,New Home Missionary Baptist,331  OPELOUSAS AVE
POINT (-89.984966464922 30.048400815338),1,Abundant Life Church,9940  HAYNE BLVD
POINT (-90.023381980559 30.026950117608),274,Pleasant Valley Missionary Baptist,5919  MORRISON RD
POINT (-90.080722821648 29.939361410142),154,Greater New Orleans Gospel,1723  ORETHA CASTLE HALEY BLVD
,202,Holygarment Tabernacle,21217  ELYSIAN FIELDS AVE
POINT (-90.013071385798 30.036960355939),85,Faith Glory Ministries,7018  HAYNE BLVD
POINT (-90.104025273997 29.923582952399),379,St. Peter AME Church,1201  CADIZ ST
POINT (-90.015783361041 29.96046972138),39,Caffin Avenue Seventh Day Adventist Church,1029  CAFFIN AVE
POINT (-90.129577471766 29.947563096077),421,Mater Dolorosa Catholic Church,1228 S CARROLLTON AVE
POINT (-90.070920256952 29.968987327378),56,Christian Light Mssnry Baptist,1809  GOVERNOR NICHOLLS ST
POINT (-90.017212629986 29.968425688558),53,Christian Community Baptist Church,1715  EGANIA ST
POINT (-90.066346339361 29.959451775523),441,Vieux Carre Baptist Church,711  DAUPHINE ST
POINT (-90.065246414588 29.963950235215),432,St Mark's United Methodist Church,1130  RAMPART ST
POINT (-90.072818683172 29.937202513047),398,Uptown Assembly of God Church,1356  CAMP ST
POINT (-90.1046233782 29.977795141608),193,Korean First Presbyterian Church,4439  CANAL ST
POINT (-90.109037564038 29.997696788481),424,Lakeview Presbyrterian Church,5914  CANAL BLVD
POINT (-90.031343637819 29.9710062195),35,Bountiful Harvest Full Gospel,4216 N DERBIGNY ST
POINT (-90.068150078036 29.964414967749),355,St Philip Church of God,1309  ST PHILIP ST
POINT (-90.118684102941 29.962416468112),164,Hollygrove Church of Christ,2940  CAMBRONNE ST
POINT (-90.03244155573 29.931914484106),181,Iglesia de Dios,1805  SHIRLEY DR
POINT (-90.085208422324 29.965018876217),138,First Pentecostal Church,122 N DORGENOIS ST
POINT (-90.123879923181 29.96884444534),262,Oak Grove Baptist Church,3124  MISTLETOE ST
POINT (-90.04099640421 29.979794879898),206,Little Antioch Baptist Church,3050 N TONTI ST
POINT (-90.07347256068 29.96813499806),354,St Peter Claver Catholic Church,1923  ST PHILIP ST
POINT (-90.057954425409 29.978790107371),210,Living Water Baptist Church,2104  ELYSIAN FIELDS AVE
POINT (-90.078327772456 29.961637468354),176,Historic St James AME Church,222 N ROMAN ST
POINT (-90.107051594609 29.960029477698),121,First Saint James Baptist Church,7007  EDINBURGH ST
POINT (-90.074817665327 29.951595686093),333,St Jude Shrine,411 N RAMPART ST
POINT (-90.081930747561 29.93439601683),14,Anshe Sfard Synagogue,2230  CARONDELET ST
,258,Household of Faith,9300  INTERSTATE 10 SERVICE RD
POINT (-90.079401883927 29.99926846117),120,Gentillly Greater Harvest Baptist,4121  ALFRED ST
POINT (-89.971814342833 30.030115934628),160,Greater St. Stephen Full Gospel Baptist Church,5600  READ BLVD
POINT (-90.077103023238 29.923370941695),308,Second Good Shepherd Baptist Church,600  SECOND ST
POINT (-90.075771776901 29.930263301425),224,Jesus the Cornerstone Church,1101  JOSEPHINE ST
POINT (-90.09549305582 29.930344302539),41,Calvary Tabernacle Christian Methodist Episcopal Church,3629  DRYADES ST
POINT (-90.061274907907 29.970469107639),215,Morris Brown AME Church,1813  URQUHART ST
POINT (-90.085080609479 29.925834907313),60,Church of Christ,2930  CAMP ST
POINT (-90.045928605761 29.964936611259),37,Blessed Francis Xavier Seelos Parish,3053  DAUPHINE ST
POINT (-90.001703903717 30.014887615907),114,Gaza Missionary Baptist Church,7258  RANSOM ST
POINT (-89.997965742592 30.036320975546),369,St. Maria Goretti Center,7300  CROWDER BLVD
POINT (-90.014331181604 29.965001238031),23,Bethel AME Church,1437  CAFFIN AVE
POINT (-90.109859651978 29.942252327601),101,First Presbyterian Church,5401 S CLAIBORNE AVE
POINT (-90.091382210535 29.939890508883),243,New Orleans Masjid Al-Islam,2700  MAGNOLIA ST
POINT (-90.089168845889 29.942497491665),393,True Love Missionary Baptist,2710  PHILIP ST
POINT (-90.122820680964 29.942640835648),48,Chabad House-Lubavitch,1216  BROADWAY ST
POINT (-90.050239534665 29.945409320068),350,St Peter the Apostle,521  NEWTON ST
POINT (-90.064441946574 29.964369774719),381,Tau House Church,1029  GOVERNOR NICHOLLS ST
POINT (-90.082524050574 30.02041396885),177,Holy Trinity Cathedral,1200  ROBERT E LEE BLVD
POINT (-90.091441758447 29.942771314272),187,Jesus Christ the Rock Evangelistic Church,2834  SECOND ST
POINT (-90.101274465857 29.922515961911),356,St Stephen's Catholic Church,1025  NAPOLEON AVE
POINT (-90.038541673527 29.981000576987),227,Mt Moriah Baptist Church,2412  LOUISA ST
POINT (-90.132894130625 29.933492212436),34,Broadway Mission Baptist Church,121  ALVIN CALLENDER ST
POINT (-90.006178866005 29.96394190425),273,Philippi Evangelistic Church of God & Christ,6325 N CLAIBORNE AVE
POINT (-90.088872772726 29.92520207887),259,Our Lady of Good Counsel Catholic Church,3306  CHESTNUT ST
POINT (-90.086739064739 29.9365042425),57,Christian Love Missionary Baptist Church,2100  SECOND ST
POINT (-90.088378957589 29.937148595558),99,First African Baptist Church,2216  THIRD ST
POINT (-90.096310099539 29.950457995883),190,Jerusalem Church of God-Christ,3802  MARTIN LUTHER KING JR BLVD
